accession,comment,created,strain,organism,mol_type,isolation_source,db_xref,country,collection_date,collected_by,gi,length,other_seqids,updated,date,region,host,division,note,serotype,G,P
U53924,,15-NOV-1996,U53924,Bovine rotavirus,mRNA,,taxon:10927,,,,1669827,1063,"{'gb': ['U53924.1', 'BRU53924'], 'gi': ['1669827']}",15-NOV-1996,1996-11-15,No information,,,,,,
AB180972,,08-JUN-2004,AB180972,Porcine rotavirus A,genomic RNA,,taxon:10967,,,,48474046,1063,"{'dbj': ['AB180972.1'], 'gi': ['48474046']}",01-OCT-2016,2016-10-01,No information,,,,,,
X57852,,03-NOV-1992,X57852,Bovine rotavirus,mRNA,,taxon:10927,,,,58737,1062,"{'emb': ['X57852.1'], 'gi': ['58737']}",17-NOV-2004,2004-11-17,No information,,,,,,
D12710,,29-APR-1993,D12710,Bovine rotavirus,mRNA,,taxon:10927,,,,222534,1062,"{'dbj': ['D12710.1', 'ROBVP7'], 'gi': ['222534']}",16-FEB-2008,2008-02-16,No information,,,,,,
M92651,,03-AUG-1993,M92651,Bovine rotavirus,genomic RNA,,taxon:10927,,,,333827,1062,"{'gb': ['M92651.1', 'ROBVP7A'], 'gi': ['333827']}",24-SEP-1992,1992-09-24,No information,,,,,,
M64679,,03-AUG-1993,M64679,Bovine rotavirus,genomic RNA,,taxon:10927,,,,333829,1062,"{'gb': ['M64679.1', 'ROBVP7B11'], 'gi': ['333829']}",25-FEB-1992,1992-02-25,No information,,,,,,
M64680,,03-AUG-1993,M64680,Bovine rotavirus,genomic RNA,,taxon:10927,,,,333831,1062,"{'gb': ['M64680.1', 'ROBVP7B60'], 'gi': ['333831']}",25-FEB-1992,1992-02-25,No information,,,,,,
M63266,,03-AUG-1993,M63266,Bovine rotavirus,genomic RNA,,taxon:10927,,,,333833,1062,"{'gb': ['M63266.1', 'ROBVP7G'], 'gi': ['333833']}",04-OCT-1991,1991-10-04,No information,,,,,,
U14996,,01-JUL-1995,U14996,Bovine rotavirus,mRNA,,taxon:10927,,,,882109,1062,"{'gb': ['U14996.1'], 'gi': ['882109']}",16-FEB-1996,1996-02-16,No information,,,,,,
U14997,,01-JUL-1995,U14997,Bovine rotavirus,mRNA,,taxon:10927,,,,882111,1062,"{'gb': ['U14997.1'], 'gi': ['882111']}",16-FEB-1996,1996-02-16,No information,,,,,,
U14998,,01-JUL-1995,U14998,Bovine rotavirus,mRNA,,taxon:10927,,,,882113,1062,"{'gb': ['U14998.1', 'C8008'], 'gi': ['882113']}",16-FEB-1996,1996-02-16,No information,,,,,,
U14999,,01-JUL-1995,U14999,Bovine rotavirus,mRNA,,taxon:10927,,,,882115,1062,"{'gb': ['U14999.1'], 'gi': ['882115']}",16-FEB-1996,1996-02-16,No information,,,,,,
U15000,,01-JUL-1995,U15000,Bovine rotavirus,mRNA,,taxon:10927,,,,882117,1062,"{'gb': ['U15000.1'], 'gi': ['882117']}",16-FEB-1996,1996-02-16,No information,,,,,,
U62154,,10-OCT-1996,U62154,Bovine rotavirus,mRNA,,taxon:10927,,,,1617499,1062,"{'gb': ['U62154.1', 'BRU62154'], 'gi': ['1617499']}",09-AUG-1997,1997-08-09,No information,,,,,,
AF141918,,13-JUN-1999,AF141918,Human rotavirus strain MP409,genomic RNA,,taxon:96046,India,,,5051926,1062,"{'gb': ['AF141918.1'], 'gi': ['5051926']}",04-JUN-1999,1999-06-04,Asia,,,"human symptomatic rotavirus; bovine-human reassortant; subgroup 1, long electropherotype",,,
AB044293,,07-DEC-2000,AB044293,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,,,11602819,1062,"{'dbj': ['AB044293.1'], 'gi': ['11602819']}",19-FEB-2009,2009-02-19,Asia,,,laboratory host: MA104 cells,,,
AB044294,,07-DEC-2000,AB044294,Bovine rotavirus,genomic RNA,,taxon:10927,Japan,,,11602821,1062,"{'dbj': ['AB044294.1'], 'gi': ['11602821']}",19-FEB-2009,2009-02-19,Asia,,,laboratory host: MA104 cells,,,
AF361439,,01-JAN-2002,AF361439,Bovine rotavirus,genomic RNA,,taxon:10927,Nigeria,,,18028976,1062,"{'gb': ['AF361439.1'], 'gi': ['18028976']}",07-AUG-2003,2003-08-07,Africa,,,group: A,,,
AF448852,,02-FEB-2002,AF448852,Bovine rotavirus,genomic RNA,,taxon:10927,,,,18479086,1062,"{'gb': ['AF448852.1'], 'gi': ['18479086']}",11-MAR-2002,2002-03-11,No information,,,,,,
AY707788,,22-SEP-2004,AY707788,Porcine rotavirus A,genomic RNA,,taxon:10967,Thailand,,,52219422,1062,"{'gb': ['AY707788.1'], 'gi': ['52219422']}",07-NOV-2006,2006-11-07,Asia,,,,,,
DQ204743,,04-APR-2006,DQ204743,Porcine rotavirus A,genomic RNA,,taxon:10967,India,,,78057280,1062,"{'gb': ['DQ204743.1'], 'gi': ['78057280']}",26-JUN-2006,2006-06-26,Asia,,,,,,
DQ256502,,14-NOV-2005,DQ256502,Porcine rotavirus A,genomic RNA,,taxon:10967,Thailand,,,81248579,1062,"{'gb': ['DQ256502.1'], 'gi': ['81248579']}",07-NOV-2006,2006-11-07,Asia,,,genotype: G3,G3,G3,None
DQ256503,,14-NOV-2005,DQ256503,Porcine rotavirus A,genomic RNA,,taxon:10967,Thailand,,,81248581,1062,"{'gb': ['DQ256503.1'], 'gi': ['81248581']}",07-NOV-2006,2006-11-07,Asia,,,genotype: G3,G3,G3,None
DQ494393,,07-NOV-2006,DQ494393,Bovine rotavirus,genomic RNA,,taxon:10927,,,,98400758,1062,"{'gb': ['DQ494393.1'], 'gi': ['98400758']}",07-NOV-2006,2006-11-07,No information,,,,,,
DQ494394,,07-NOV-2006,DQ494394,Bovine rotavirus,genomic RNA,,taxon:10927,South Korea,,,98400783,1062,"{'gb': ['DQ494394.1'], 'gi': ['98400783']}",07-NOV-2006,2006-11-07,Asia,,,,,,
